Track name,Artist name,Album,Playlist name,Type,ISRC,Spotify - id
"Long Time (Intro)","LL Clawz","Whole Lotta Clawz","Favorite Songs","Favorite","QZES72249993","1Z3bdj72WQPhwVBNTM3yfP"
"Pucci (feat. Zeddy Will)","41","Pucci / Pilates","Favorite Songs","Favorite","USUG12505940","5Ge4gJLA9SLrDHiAEKxi91"
"Compass","The Neighbourhood","Hard To Imagine The Neighbourhood Ever Changing","Favorite Songs","Favorite","USSM11709910","0YNtAadZvKBBEFARtfoCV8"
"Fallen Star","The Neighbourhood","Fallen Star","Favorite Songs","Favorite","ZZOPM2110941","60F6pgM6H6miNr5AmjxwjL"
"Friends (with BloodPop®)","Justin Bieber","Friends (with BloodPop®)","Favorite Songs","Favorite","USUM71709101","7iNIg7XDEaYECfWD5dJ9Va"
"come closer","copperplate","contentment","Favorite Songs","Favorite","GXBDS2405866","6n1bMD1OYkhfN9B5sQYjg8"
"Yoshi City","Yung Lean","Unknown Memory","Favorite Songs","Favorite","USA2B1401999","3da3ufjRxK1Kn5oqM0wmx4"
"By Your Side","Jonas Blue","Royal","Favorite Songs","Favorite","GBUM71605281","5OieUpDMn3I4Qwd2wqH2PG"
"regretful","leverfall","April & June","Favorite Songs","Favorite","QZMEQ2579528","4lJjC7xGtEg1tZH4KOSSuv"
"You (feat. Travis Scott)","Don Toliver","Life of a DON","Favorite Songs","Favorite","USAT22106701","3cJ1RBeOIb9RGmyab5H3cG"
"Something About U (Deerstalker Dub)","Mr Roy","Something About U","Favorite Songs","Favorite","GBCGN9900157","5Cltw9KoB7rNDsuRdah6VJ"
"All Eyes on You (feat. Chris Brown & Nicki Minaj)","Meek Mill","100 Greatest Hip-Hop","Favorite Songs","Favorite","USAT21501575","5LIlq4Yf5PsxOLj0CDa2fY"
"Mom - Black Beatles Remix","A T R I E L","Mom (Black Beatles Remix)","Favorite Songs","Favorite","QZNWZ2409850","4lMIFtPEMmdwJLydvShadr"
"Get Back","Britney Spears","Blackout","Favorite Songs","Favorite","USJI10700753","59Xb5YkZ1AFrMD19T6cKr8"
"Shoreline","Broder Daniel","Cruel Town","Favorite Songs","Favorite","SEVBU0300107","77jVczOFXfbdugN4djsIqs"
"Tumblr Girls (feat. Christoph Andersson)","G-Eazy","These Things Happen","Favorite Songs","Favorite","USRC11400750","4Fv6wNYUixnYkj3Dgfrls8"
"Starry Eyed","Ellie Goulding","Bright Lights (Lights Re-pack / Bonus Version)","Favorite Songs","Favorite","GBUM70915600","14OF4JQOIm4hb0GfG5nfyF"
"Always On My Mind (Let U Go)","Novaj","Always On My Mind (Let U Go)","Favorite Songs","Favorite","DGA092497110","13Ob3O6YKqgGDWwiRJSqyb"
"Porcelain","Moby","Play","Favorite Songs","Favorite","GBAJH9900036","6EXi6ZqTITKGtVBKqbphjL"
"Enjoy the Silence","Depeche Mode","The Best of Depeche Mode, Vol. 1 (Deluxe)","Favorite Songs","Favorite","GBAJH0602198","0ULPav7qqKTHn7vgi9v42k"
"Enjoy the Silence","Depeche Mode","Violator (Deluxe)","Favorite Songs","Favorite","GBAJH0600292","1JekRMGQ8iN4G1AAdh0SBa"
"Bass Drop (Spenda C Mix Remix)","A-Tonez","Onelove Bass Trap 2013 (Mixed by Spenda C & Leah Mencel)","Favorite Songs","Favorite","AUON21330604","5HS4LYtDxF56RpaDO7bjhl"
"We Hate the Most","RodMac","We Hate the Most","Favorite Songs","Favorite","BXLVT1800047","74eVAL93jJFdTOt6q2hYK4"
"9","Dean Blunt","ZUSHI","Favorite Songs","Favorite","USYBL2000744","5JXtkWtuqS8Dm8sKbtPGWa"
"Scream & Shout","will.i.am","#willpower","Favorite Songs","Favorite","USUM71215597","2iJuuzV8P9Yz0VSurttIV5"
"Best Time","Brent Faiyaz","Larger Than Life","Favorite Songs","Favorite","QZNMY2304784","1zgHn1EqUyA0HqNYMdJ5ia"
"A$AP Forever (feat. Moby)","A$AP Rocky","A$AP Forever (feat. Moby)","Favorite Songs","Favorite","USRC11800615","1YmF9PvLhIISIANoMLIYGq"
"Paris Morton Music","Drake","Care Package","Favorite Songs","Favorite","USUG11902775","6PfDvmKdRXaYVN5q1JH0d1"
"On My Own","Darci","On My Own","Favorite Songs","Favorite","QM24S1808865","0F4FejjWi3bf5vGOkuQwPS"
"I Need You","TWOFACED","I Need You","Favorite Songs","Favorite","GBUM72506371","2EMj2j03BtJeAmbfl7TeEr"
"Black Beatles","Rae Sremmurd","SremmLife 2 (Deluxe)","Favorite Songs","Favorite","USUM71603293","6fujklziTHa8uoM5OQSfIo"
"Buy A Heart","Nicki Minaj","The Pinkprint","Favorite Songs","Favorite","USCM51400390","4pwnOQ2t6ufHIbou1kJ5Pz"
"Type Shit","Future","Internacionais 2025 - As Mais Tocadas","Favorite Songs","Favorite","USSM12402033","0GlciRoiZjtyrXrLtLGeuf"
"She Knows","Ne-Yo","Non-Fiction","Favorite Songs","Favorite","USUM71413562","1mdXe5lvZ0c4dn7nnVDCG8"
"She Knows (feat. Amber Coffman & Cults)","J. Cole","Born Sinner (Deluxe Version)","Favorite Songs","Favorite","USQX91301184","0Fs9cdPDhptWEDJmiCbkEW"
"Sometimes","Blue Imagined","Sometimes / I Found Love","Favorite Songs","Favorite","QZDA52423551","4D7pqnF6VzLbwF96Ywe8H5"
"Thrown Away","Louísé Sôleñe","Thrown Away","Favorite Songs","Favorite","QT5M62556701","35oOyOSrwm4fIwBT39SGRK"
"Lover, You Should've Come Over","Jeff Buckley","Jeff Buckley: It's Never Over - Songs From the Film","Favorite Songs","Favorite","USSM19400916","0a88FguzOtU2TA3pW5cF1n"
"A Fresh Energy","Gaskin","A Fresh Energy","Favorite Songs","Favorite","GBKQU2345173","4e6WG71BDyydX2fBwPjDv4"
"Flying South - Original Mix","Nikolay Mikryukov","Sol Y Playa, Vol.19","Favorite Songs","Favorite","UKACT1980082","6d0JyeVSxMsHcPMWZ7b6JN"
"8TEEN","Khalid","American Teen","Favorite Songs","Favorite","USRC11700146","5bgwqaRSS3M8WHWruHgSL5"
"I Wanna Be With You","DJ Khaled","Suffering From Success (Deluxe Version)","Favorite Songs","Favorite","USCM51300687","5bihYnsp6Y5zEYOoWao7RA"
"Rivet Gun","Mother Soki","Rivet Gun (Slowed Down)","Favorite Songs","Favorite","QZQAY2568340","53mkyMhkr8gmf9Z2DXtlHN"
"Slime You Out (feat. SZA)","Drake","For All The Dogs","Favorite Songs","Favorite","USUG12306064","0AYt6NMyyLd0rLuvr0UkMH"
"I'm Not Alone - 2019 Edit","Calvin Harris","I'm Not Alone 2019","Favorite Songs","Favorite","GBARL1900452","5v98VA4TXznJNrw0XRphIb"
"Spotless Mind","Jhené Aiko","Souled Out (Deluxe)","Favorite Songs","Favorite","USUM71411886","5Xe4fAuhqxQRSjTWNZLSqJ"
"East Liberty","PARTYNEXTDOOR","PARTYNEXTDOOR TWO","Favorite Songs","Favorite","USWB11401859","2nOTvYKyk51OSs90GvMgLW"
